"case","event","startTime","completeTime","enddate_planned","enddate","responsible","channel","startdate","department","deadline","group","addedCost","cost","org:resource","org:group"
"case_100178","T02 Check confirmation of receipt","2011/10/25 08:27:27.316","2011/10/25 08:27:27.316","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","Group 4"
"case_100178","T04 Determine confirmation of receipt","2011/10/25 08:27:46.307","2011/10/25 08:27:46.307","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","Group 3"
"case_100178","T05 Print and send confirmation of receipt","2011/10/25 08:28:00.504","2011/10/25 08:28:00.504","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","Group 2"
"case_100178","T06 Determine necessity of stop advice","2011/10/25 08:28:15.484","2011/10/25 08:28:15.484","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100178","T10 Determine necessity to stop indication","2011/10/25 08:28:33.002","2011/10/25 08:28:33.002","2011/12/05 00:06:40.010","2011/11/14 08:15:07.941","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100179","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100179","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100179","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100179","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100179","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100179","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100179","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100179","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100179","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100179","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100180","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100180","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100180","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100180","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100180","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100180","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100180","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100180","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100180","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100180","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100181","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100181","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100181","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100181","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100181","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100181","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100181","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100181","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100181","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100181","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100182","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100182","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100182","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100182","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100182","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100182","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100182","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100182","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100182","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100182","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100183","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100183","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100183","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100183","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100183","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100183","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100183","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100183","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100183","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100183","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100184","Confirmation of receipt","2011/10/25 13:13:10.744","2011/10/25 13:13:10.744","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","EMPTY"
"case_100184","T02 Check confirmation of receipt","2011/10/25 13:13:31.837","2011/10/25 13:13:31.837","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100184","T04 Determine confirmation of receipt","2011/10/25 13:13:49.542","2011/10/25 13:13:49.542","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100184","T05 Print and send confirmation of receipt","2011/10/25 13:14:24.249","2011/10/25 13:14:24.249","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100184","T06 Determine necessity of stop advice","2011/10/25 13:22:15.239","2011/10/25 13:22:15.239","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100184","T10 Determine necessity to stop indication","2011/10/25 13:23:06.272","2011/10/25 13:23:06.272","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100184","T16 Report reasons to hold request","2011/10/25 13:23:58.755","2011/10/25 13:23:58.755","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 1"
"case_100184","T17 Check report Y to stop indication","2011/10/25 13:24:22.922","2011/10/25 13:24:22.922","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 4"
"case_100184","T19 Determine report Y to stop indication","2011/10/25 13:24:55.079","2011/10/25 13:24:55.079","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 3"
"case_100184","T20 Print report Y to stop indication","2011/10/25 13:25:10.989","2011/10/25 13:25:10.989","2011/12/05 00:06:40.010","2011/12/05 14:34:49.174","Resource11","Internet","2011/10/10 00:06:40.020","General","2011/12/05 00:06:40.000","Group 8",,">15000","Resource03","Group 2"
"case_100185","Confirmation of receipt","2011/10/17 14:31:27.570","2011/10/17 14:31:27.570","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","EMPTY"
"case_100185","T02 Check confirmation of receipt","2011/10/17 14:31:51.615","2011/10/17 14:31:51.615","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","Group 4"
"case_100185","T04 Determine confirmation of receipt","2011/10/17 14:32:34.591","2011/10/17 14:32:34.591","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","Group 3"
"case_100185","T05 Print and send confirmation of receipt","2011/10/17 14:33:42.796","2011/10/17 14:33:42.796","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","Group 2"
"case_100185","T06 Determine necessity of stop advice","2011/10/17 14:34:25.518","2011/10/17 14:34:25.518","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","Group 1"
"case_100185","T10 Determine necessity to stop indication","2011/10/17 14:41:19.472","2011/10/17 14:41:19.472","2011/12/12 13:23:48.241","2011/10/24 10:10:14.651","Resource06","Internet","2011/10/17 13:23:48.241","General","2011/12/12 13:23:48.241","Group 5",,"<1000","Resource06","Group 1"
"case_100186","Confirmation of receipt","2011/10/24 14:00:50.433","2011/10/24 14:00:50.433","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","EMPTY"
"case_100186","T06 Determine necessity of stop advice","2011/10/24 14:01:21.907","2011/10/24 14:01:21.907","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100186","T10 Determine necessity to stop indication","2011/10/24 14:01:44.536","2011/10/24 14:01:44.536","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","Group 1"
"case_100186","T02 Check confirmation of receipt","2011/10/24 14:01:59.826","2011/10/24 14:01:59.826","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","Group 4"
"case_100186","T04 Determine confirmation of receipt","2011/10/24 14:02:16.227","2011/10/24 14:02:16.227","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","Group 3"
"case_100186","T05 Print and send confirmation of receipt","2011/10/24 14:02:32.399","2011/10/24 14:02:32.399","2012/12/06 00:06:40.010","2011/11/23 07:50:44.645","Resource11","Internet","2011/10/11 00:06:40.020","General","2011/12/06 00:06:40.000","Group 8",,"<1000","Resource03","Group 2"
